City,State,Country,Code,Continent
Aberdeen, SD,USA,ABR,North America
Abilene, TX,USA,ABI,North America
Akron, OH,USA,CAK,North America
Albany, GA,USA,ABY,North America
Albany, NY,USA,ALB,North America
Albuquerque, NM,USA,ABQ,North America
Alexandria, La,USA,ESF,North America
Allentown, PA,USA,ABE,North America
Altoona, PA,USA,AOO,North America
Amarillo, TX,USA,AMA,North America
Anchorage, AK,USA,ANC,North America
Ann Arbor, MI,USA,ARB,North America
Anniston, AL,USA,ANB,North America
Appelton/Neenah/Menasha, WI,USA,ATW,North America
Asheville, NC,USA,AVL,North America
Aspen Snowmass, CO,USA,ASE,North America
Athens, GA,USA,AHN,North America
Athens, OH,USA,ATO,North America
Atlanta, Hartsfield Atlanta Int'l Airport,USA,ATL,North America
Atlantic City, NJ,USA,ACY,North America
Augusta, GA,USA,AGS,North America
Augusta, ME,USA,AUG,North America
Austin, TX,USA,AUS,North America
Bakersfield, CA,USA,BFL,North America
Baltimore Washington Int'l Airport; MD,USA,BWI,North America
Bangor, ME,USA,BGR,North America
Baton Rouge, La,USA,BTR,North America
Beaumont/Pt. Arthur, TX,USA,BPT,North America
Beckley, WV,USA,BKW,North America
Bellingham, WA,USA,BLI,North America
Bemidji, MN,USA,BJI,North America
Benton Harbour, MI,USA,BEH,North America
Bethel, AK,USA,BET,North America
Billings, MT,USA,BIL,North America
Birmingham, AL,USA,BHM,North America
Bismarck/Mandan, ND,USA,BIS,North America
Bloomington, IL,USA,BMI,North America
Bloomington, IN,USA,BMG,North America
Bluefield, WV,USA,BLF,North America
Boise, ID,USA,BOI,North America
Borrego Springs, CA,USA,BXS,North America
Boston - Logan, MA,USA,BOS,North America
Bozeman, MT,USA,BZN,North America
Bradford/Warren, PA/Olean, NY,USA,BFD,North America
Brainerd, MN,USA,BRD,North America
Bridgeport, CT,USA,BDR,North America
Brookings, SD,USA,BKX,North America
Brunswick, GA,USA,BQK,North America
Buffalo/Niagara Falls, NY,USA,BUF,North America
Bullhead City, NV,USA,BHC,North America
Burbank, CA,USA,BUR,North America
Burlington, IA,USA,BRL,North America
Burlington, VT,USA,BTV,North America
Butte, MT,USA,BTM,North America
Carlsbad, CA,USA,CLD,North America
Casper, WY,USA,CPR,North America
Cedar City, UT,USA,CDC,North America
Cedar Rapids, IA,USA,CID,North America
Champaign, IL,USA,CMI,North America
Charleston, SC,USA,CHS,North America
Charleston, WV,USA,CRW,North America
Charlotte, NC,USA,CLT,North America
